iter	TotalF1	MultiClass
564	0.8647334018	0.5340713208
565	0.8647334018	0.533950718
566	0.8650186335	0.5337033176
567	0.8650536762	0.5335754455
568	0.8651350762	0.5334060136
569	0.8654838249	0.5329190401
570	0.8652795827	0.5325087698
571	0.8653213378	0.5324095361
572	0.8655929542	0.5322784148
573	0.8657521027	0.5320985071
574	0.8657799442	0.5314050913
575	0.8657799442	0.531248903
576	0.8658792355	0.531145665
577	0.8660145539	0.5310005076
578	0.8660145539	0.530923575
579	0.8664786046	0.5306690137
580	0.8665559837	0.5304913622
581	0.8665198357	0.5304221474
582	0.8664852491	0.530340663
583	0.8661915921	0.5301027699
584	0.8664932525	0.5299481195
585	0.8664229776	0.5297992197
586	0.8664061389	0.5295666413
587	0.8664061389	0.5294898074
588	0.8664061389	0.5294036553
589	0.8664061389	0.5292961859
590	0.8664061389	0.529219947
591	0.8664405687	0.5291351681
592	0.8668676072	0.5287149459
593	0.8676030001	0.5280042374
594	0.8676030001	0.5278784772
595	0.8683126503	0.5274727949
596	0.8684172334	0.5269415768
597	0.8684602022	0.5268202029
598	0.8684661446	0.5266063062
599	0.8685794721	0.5262773576
600	0.8681265908	0.5257539316
601	0.8685837791	0.5253983367
602	0.8685837791	0.525263927
603	0.8683508425	0.5249402513
604	0.8684833984	0.5247295793
605	0.8684833984	0.5246515838
606	0.8690089045	0.5245275316
607	0.869133474	0.5243627144
608	0.8694730813	0.5241510358
609	0.8689627509	0.5238243672
610	0.8689978524	0.5236988608
611	0.8689978524	0.5235628223
612	0.8689978524	0.5234185878
613	0.8691061669	0.5233255855
614	0.8695445363	0.5227721375
615	0.8692229519	0.5220279347
616	0.8694716081	0.5213857039
617	0.8695106224	0.5212975304
618	0.8695106224	0.5212556645
619	0.8696609648	0.5210350257
620	0.8697606631	0.5208437926
621	0.8698453632	0.5206292753
622	0.8698979172	0.520479183
623	0.8703079736	0.5203061728
624	0.8709324889	0.5199581456
625	0.8707461645	0.5198128729
626	0.8707461645	0.5197318156
627	0.8708164208	0.5196439667
628	0.870738459	0.5193726504
629	0.870839945	0.5193056378
630	0.8711090017	0.5192041344
631	0.8710507699	0.51889196
632	0.8715312081	0.5186470257
